year_sold,sale_date,property_name,city,state,total_sf,price,price_per_sf,noi,multi_single_tenant,federal_funds_rate,interest_rate,inflation,10_year_treasury,cap_rate,gdp
2010,07/2010,Springbrook Praries Pavillion,Naperville,IL,319401,47163836.00,147.66,3183558.93,1,0.0018,0.0164,0.0469,0.0322,0.0675,69452217000
2010,12/2010,Willow Festival,Northbrook,IL,113692,21592225.00,189.92,1403494.63,1,0.0018,0.0164,0.0469,0.0322,0.0650,320358759000
2011,11/2011,Whole Foods - Denver,Denver,CO,141818,29935841.00,211.09,2065573.03,1,0.0010,0.0316,0.0445,0.0278,0.0690,52411746000
2011,12/2011,Whole Foods - Fairfield,Fairfield,CT,5000,26725168.00,5345.03,1469884.24,1,0.0010,0.0316,0.0445,0.0278,0.0550,82853670000
2011,01/2011,Tower Shops,Davie,FL,289303,58462337.00,202.08,3770820.74,1,0.0010,0.0316,0.0445,0.0278,0.0645,81772409000
2011,09/2011,Whole Foods - Fort Lauderdale,Fort Lauderdale,FL,32324,8016669.00,248.01,529100.15,0,0.0010,0.0316,0.0445,0.0278,0.0660,81772409000
2011,11/2011,Lakepointe Village,Sugar Land,TX,162263,55900000.00,344.50,3493750.00,1,0.0010,0.0316,0.0445,0.0278,0.0625,17280292000
2011,07/2011,Whole Foods - Minneapolis,Minneapolis,MN,49971,11736327.00,234.86,751124.93,0,0.0010,0.0316,0.0445,0.0278,0.0640,102379430000
2011,11/2011,Whole Foods - Chesterfield,Chesterfield,MO,55012,9681091.00,175.98,735762.92,0,0.0010,0.0316,0.0445,0.0278,0.0760,68917293000
2012,12/2012,Whole Foods - Santa Barbara,Santa Barbara,CA,29884,35000000.00,1171.20,1750000.00,0,0.0014,0.0207,0.0366,0.0180,0.0500,21854525000
2012,10/2012,Whole Foods - Littleton,Littleton,CO,33138,10800000.00,325.91,594000.00,0,0.0014,0.0207,0.0366,0.0180,0.0550,34198561000
2012,12/2012,Whole Foods - Atlanta,Atlanta,GA,53974,30898982.00,572.48,1606747.06,0,0.0014,0.0207,0.0366,0.0180,0.0520,134314837000
2012,12/2012,The Fountains,Overland Park,KS,102011,25370570.00,248.70,1547604.77,1,0.0014,0.0207,0.0366,0.0180,0.0610,39510379000
2012,03/2012,Whole Foods - Lynwood,Lynwood,WA,42766,18100000.00,423.23,1040750.00,0,0.0014,0.0207,0.0366,0.0180,0.0575,32297192000
2012,01/2012,Lake Grove Commons,Lake Grove,NY,132045,66320100.00,502.25,3713925.60,1,0.0014,0.0207,0.0366,0.0180,0.0560,76859133000
2013,01/2013,Whole Foods - Chicago,Chicago,IL,41148,11580000.00,281.42,781650.00,0,0.0011,0.0146,0.0398,0.0235,0.0675,357645409000
2013,06/2013,Danada Square East,Wheaton,IL,179293,25875504.00,144.32,2147666.83,1,0.0011,0.0146,0.0398,0.0235,0.0830,78783372000
2013,10/2013,Grand Lakes Marketplace,Katy,TX,131195,48500000.00,369.68,2570500.00,1,0.0011,0.0146,0.0398,0.0235,0.0530,395892886000
2014,10/2014,Downtown At The Gardens,Palm Beach Gardens,FL,338925,141500000.00,417.50,8843750.00,1,0.0009,0.0162,0.0417,0.0254,0.0625,69728715000
2014,11/2014,Whole Foods - Chicago,Chicago,IL,54518,10403329.00,190.82,540973.11,0,0.0009,0.0162,0.0417,0.0254,0.0520,367251284000
2014,04/2014,Whole Foods - Park Ridge,Park Ridge,IL,38274,16600000.00,433.71,753640.00,0,0.0009,0.0162,0.0417,0.0254,0.0454,367251284000
2014,03/2014,Whole Foods - Brookline,Brookline,MA,27550,3628458.00,131.70,199565.19,0,0.0009,0.0162,0.0417,0.0254,0.0550,48432231000
2014,07/2014,Pleasant Shops,Weymouth,MA,1300000,34250000.00,26.35,1671400.00,1,0.0009,0.0162,0.0417,0.0254,0.0488,48432231000
2014,05/2014,Whole Foods - The Domain,Austin,TX,59546,34000000.00,570.99,1666000.00,0,0.0009,0.0162,0.0417,0.0254,0.0490,1150295000
2014,09/2014,Hill Country Galleria,Bee Cave (Austin),TX,1000000,322000000.00,322.00,15617000.00,1,0.0009,0.0162,0.0417,0.0254,0.0485,91064790000
2014,03/2014,Shops at Highland Village,Flower Mound,TX,378023,112700000.00,298.13,7100100.00,1,0.0009,0.0162,0.0417,0.0254,0.0630,24645604000
2014,03/2014,Whole Foods - Highland Village,Highland Village,TX,38000,10909887.00,287.10,687322.88,0,0.0009,0.0162,0.0417,0.0254,0.0630,24645604000
2014,06/2014,Plaza America,Reston,VA,164998,97500000.00,590.92,4095000.00,1,0.0009,0.0162,0.0417,0.0254,0.0420,96802622000
2014,07/2014,Turnpike Plaza,Nashua,NH,132000,27000000.00,204.55,1520100.00,1,0.0009,0.0162,0.0417,0.0254,0.0563,24277308000
2015,02/2015,Whole Foods - Mill Valley,Mill Valley,CA,23200,23940100.00,1031.90,1699747.10,1,0.0013,0.0012,0.0385,0.0214,0.0710,21128072000
2015,05/2015,Whole Foods - Naples,Naples,FL,52985,16378856.00,309.12,737048.52,0,0.0013,0.0012,0.0385,0.0214,0.0450,16124953000
2015,03/2015,Whole Foods - Schuamburg,Schuamburg,IL,58147,11006296.00,189.28,704402.94,0,0.0013,0.0012,0.0385,0.0214,0.0640,382626329000
2015,04/2015,Colleyville Downs,Colleyville,TX,195000,45000000.00,230.77,2362500.00,1,0.0013,0.0012,0.0385,0.0214,0.0525,108496231000
2015,05/2015,Village on the Parkway,Dallas,TX,357731,188000000.00,525.53,8742000.00,1,0.0013,0.0012,0.0385,0.0214,0.0465,245923071000
2015,12/2015,Marketplace at Tech Center,Newport News,VA,210000,72600000.00,345.71,4283400.00,1,0.0013,0.0012,0.0385,0.0214,0.0590,12387834000
2016,09/2016,University Center,Fort Collins,CO,35400,12648404.00,357.30,685543.50,1,0.0039,0.0126,0.0365,0.0184,0.0542,15358832000
2016,05/2016,Market Common (Retail),Arlington,VA,295660,281000000.00,950.42,11240000.00,1,0.0039,0.0126,0.0365,0.0184,0.0400,29667913000
2016,08/2016,Kentlands Market Square,Gaithersburg,MD,251047,95000000.00,378.42,3857000.00,1,0.0039,0.0126,0.0365,0.0184,0.0406,83044022000
2017,09/2017,Whole Foods - Tampa,Tampa,FL,36900,15550000.00,421.41,785275.00,0,0.0055,0.0213,0.0399,0.0233,0.0505,77317574000
2017,05/2017,BLVD Place,Houston,TX,216692,158000000.00,729.15,8532000.00,1,0.0055,0.0213,0.0399,0.0233,0.0540,857637000
2017,08/2017,The Parke,Leander,TX,404000,112300000.00,277.97,5727300.00,1,0.0055,0.0213,0.0399,0.0233,0.0510,22046015000
2017,12/2017,Roosevelt Square,Seattle,WA,148298,68248302.00,460.21,3173546.04,0,0.0055,0.0213,0.0399,0.0233,0.0465,257453872000
2017,12/2017,North Bethseda Market,North Bethseda,MD,182926,84100000.00,459.75,5407630.00,1,0.0055,0.0213,0.0399,0.0233,0.0643,83800001000
2018,06/2018,Kennesaw Marketplace,Kennesaw,GA,111586,64300000.00,576.24,3279300.00,1,0.0142,0.0244,0.0454,0.0291,0.0510,45417267000
2018,10/2018,Exchange at Hammond,Sandy Springs,GA,334787,93850000.00,280.33,4786350.00,1,0.0142,0.0244,0.0454,0.0291,0.0510,152383941000
2018,11/2018,Oswego Village,Lake Oswego,OR,102809,33800000.00,328.76,1521000.00,1,0.0142,0.0244,0.0454,0.0291,0.0450,19580688000
2018,03/2018,Sienna at St. Claire,Newton Square,PA,39510,24438000.00,618.53,1165692.60,1,0.0142,0.0244,0.0454,0.0291,0.0477,30635413000
2018,03/2018,Shops at MacArthur Hills,Irving,TX,75387,45000000.00,596.92,2362500.00,1,0.0142,0.0244,0.0454,0.0291,0.0525,241375801000
2018,11/2018,Whole Foods (STNL) - Virginia Beach,Virginia Beach,VA,40000,16700000.00,417.50,918500.00,0,0.0142,0.0244,0.0454,0.0291,0.0550,20081231000
2018,06/2018,Stonewall Station,Charlotte,NC,47500,34050000.00,716.84,1736550.00,1,0.0142,0.0244,0.0454,0.0291,0.0510,97637010000
2018,09/2018,Ridgewood Shopping Center,Raleigh,NC,88349,45835000.00,518.79,2062575.00,1,0.0142,0.0244,0.0454,0.0291,0.0450,70297010000
2018,12/2018,Waverly,Charlotte,NC,166000,68500000.00,412.65,4521000.00,1,0.0142,0.0244,0.0454,0.0291,0.0660,97637010000
2018,01/2018,The District at Metuchen,Metuchen,NJ,66567,33830000.00,508.21,1745628.00,1,0.0142,0.0244,0.0454,0.0291,0.0516,58319626000
2019,02/2019,Whole Foods - Sarasota,Sarasota,FL,36051,20515372.00,569.07,1077057.03,0,0.0240,0.0181,0.0392,0.0214,0.0525,21887546000
2019,07/2019,North Decatur Square,Decatur,GA,85942,52600000.00,612.04,2708900.00,1,0.0240,0.0181,0.0392,0.0214,0.0515,41785889000
2019,05/2019,Water Tower Place,West Des Moines,IA,143683,51196000.00,356.31,3276544.00,1,0.0240,0.0181,0.0392,0.0214,0.0640,44816347000
2019,08/2019,Nora Plaza,Indianapolis,IN,140513,29000000.00,206.39,1957500.00,1,0.0240,0.0181,0.0392,0.0214,0.0675,400387000
2019,03/2019,Whole Foods - Market Plaza,Metairie,LA,58141,23370570.00,401.96,1425604.77,1,0.0240,0.0181,0.0392,0.0214,0.0610,23999402000
2019,05/2019,Marketplace at Hilltop,Virginia Beach,VA,118000,25182904.00,213.41,1939083.61,1,0.0240,0.0181,0.0392,0.0214,0.0770,22335512000
2019,09/2019,Miller Street Market,Winston Salem,NC,40292,15150000.00,376.01,825675.00,1,0.0240,0.0181,0.0392,0.0214,0.0545,10446478000
2019,02/2019,Port Chester Shopping Center,Port Chester,NY,493459,191000000.00,387.06,9168000.00,1,0.0240,0.0181,0.0392,0.0214,0.0480,85918413000
2020,05/2020,Whole Foods - Chicago,Chicago,IL,78750,70900000.00,900.32,2942350.00,0,0.0155,0.0123,0.0310,0.0089,0.0415,386309013000
2020,02/2020,Whole Foods - Kildeer,Kildeer,IL,50000,24900000.00,498.00,1242510.00,0,0.0155,0.0123,0.0310,0.0089,0.0499,61463587000
2020,06/2020,Glen Eagle Square,Glen Mills,PA,151953,67300000.00,442.90,4219710.00,1,0.0155,0.0123,0.0310,0.0089,0.0627,31869110000
2020,01/2020,Garden City Center,Cranston,RI,530629,181000000.00,341.10,11765000.00,1,0.0155,0.0123,0.0310,0.0089,0.0650,34144787000
2020,09/2020,Whole Foods (STNL) - Germantown,Germantown,TN,41878,18500000.00,441.76,851000.00,0,0.0155,0.0123,0.0310,0.0089,0.0460,63607931000
2020,01/2020,Preston Forest Shopping Center,Dallas,TX,200000,64000000.00,320.00,2688000.00,1,0.0155,0.0123,0.0310,0.0089,0.0420,263514185000
2020,06/2020,Bull City Market,Durham,NC,42500,13000000.00,305.88,689000.00,1,0.0155,0.0123,0.0310,0.0089,0.0530,36028859000
2020,11/2020,West Point Marketplace,Akron,OH,54422,18000000.00,330.75,1260000.00,1,0.0155,0.0123,0.0310,0.0089,0.0700,29827791000
2021,12/2021,Midtown Whole Foods Market,Atlanta,GA,59382,53000000.00,892.53,2067000.00,1,0.0009,0.0470,2.9600,0.0145,0.0390,191139183000
2021,07/2021,Bedford Marketplace,Bedford,MA,1530000,54500000.00,35.62,3101050.00,1,0.0009,0.0470,2.9600,0.0145,0.0569,365714000
2021,02/2021,Whole Foods (STNL) - Milwaukee,Milwaukee,WI,53875,23500000.00,436.19,1410000.00,1,0.0009,0.0470,2.9600,0.0145,0.0600,59158330000
2021,10/2021,Durgin Square,Portsmouth,NH,134995,40500000.00,300.01,1984500.00,1,0.0009,0.0470,2.9600,0.0145,0.0490,24644467000
2021,07/2021,Cedar Center South,Clevland,OH,138881,38750000.00,279.02,2588500.00,1,0.0009,0.0470,2.9600,0.0145,0.0668,100932606000
2021,11/2021,Sun Center,Columbus,OH,316004,64331500.00,203.58,4342376.25,1,0.0009,0.0470,2.9600,0.0145,0.0675,106364704000
2022,01/2022,Cahaba Village,Birmingham,AL,115282,59950000.00,520.03,3057450.00,1,0.0175,0.0591,0.0860,0.0241,0.0510,12947298000
2022,10/2022,Whole Foods - Market Plaza,Birmingham,AL,175673,37000000.00,210.62,2035000.00,0,0.0175,0.0591,0.0860,0.0241,0.0550,12947299000
2022,06/2022,Fig Garden Village,Fresno,CA,41812,4797804.00,114.75,299862.75,1,0.0175,0.0591,0.0860,0.0241,0.0625,45388356000
2022,08/2022,Whole Foods - Los Altos,Los Altos,CA,50451,55000000.00,1090.17,2255000.00,0,0.0175,0.0591,0.0860,0.0241,0.0410,382786734000
2022,11/2022,Whole Foods - Santa Monica,Santa Monica,CA,29064,54158500.00,1863.42,1895547.50,0,0.0175,0.0591,0.0860,0.0241,0.0350,790016435000
2022,09/2022,Bijou Marketplace,South Lake Tahoe,CA,25000,13333000.00,533.32,490654.40,1,0.0175,0.0591,0.0860,0.0241,0.0368,8382976000
2022,01/2022,Sycamore Hills Plaza,Upland,CA,46190,26850931.00,581.31,1342546.55,1,0.0175,0.0591,0.0860,0.0241,0.0500,100649568000
2022,01/2022,Clayton Lane at Cherry Creek,Denver,CO,182802,134850000.00,737.68,5798550.00,1,0.0175,0.0591,0.0860,0.0241,0.0430,96723136000
2022,09/2022,University Center,Fort Collins,CO,170667,40835000.00,239.27,2213257.00,1,0.0175,0.0591,0.0860,0.0241,0.0542,22240217000
2022,08/2022,University Plaza,Fort Collins,CO,68334,7875000.00,115.24,531562.50,1,0.0175,0.0591,0.0860,0.0241,0.0675,22240217000
2022,07/2022,Whole Foods - Bradburn Village,Westminister,CO,35400,12648404.00,357.30,683013.82,0,0.0175,0.0591,0.0860,0.0241,0.0540,30417710000
2022,04/2022,Kings Crossing,Fairfield,CT,86160,57800000.00,670.84,2947800.00,1,0.0175,0.0591,0.0860,0.0241,0.0510,90361060000
2022,10/2022,Milford Marketplace,Milford,CT,11257,28000000.00,2487.34,1708000.00,1,0.0175,0.0591,0.0860,0.0241,0.0610,52659909000
2022,06/2022,Whole Foods - West Hartford,West Hartford,CT,47174,40500000.00,858.52,2025000.00,0,0.0175,0.0591,0.0860,0.0241,0.0500,85951890000
2022,09/2022,University Commons,Boca Raton,FL,156397,80500000.00,514.72,4097450.00,1,0.0175,0.0591,0.0860,0.0241,0.0509,100113799000
2022,05/2022,Plaza San Remo,Coral Gables,FL,59155,46750000.00,790.30,2431000.00,1,0.0175,0.0591,0.0860,0.0241,0.0520,184513444000
2022,06/2022,Daniel's Marketplace,Fort Myers,FL,106729,49000000.00,459.11,2621500.00,1,0.0175,0.0591,0.0860,0.0241,0.0535,37489983000
2022,02/2022,Shoppes at Sarasota Row,Sarasota,FL,60000,24613333.00,410.22,1292199.98,1,0.0175,0.0591,0.0860,0.0241,0.0525,24245059000
2022,08/2022,University Station,Sarasota,FL,53746,22600000.00,420.50,1152600.00,1,0.0175,0.0591,0.0860,0.0241,0.0510,24245059000
2022,04/2022,Wellington Green Commons,Wellington,FL,84274,37187752.00,441.27,2008138.61,1,0.0175,0.0591,0.0860,0.0241,0.0540,100113799000
2022,12/2022,Marketplace at the Outlets,West Palm Beach,FL,300830,130000000.00,432.14,7020000.00,1,0.0175,0.0591,0.0860,0.0241,0.0540,100113799000
2022,03/2022,Delray Beach Plaza,Delray Beach,FL,87004,30000000.00,344.81,1605000.00,1,0.0175,0.0591,0.0860,0.0241,0.0535,100113799000
2022,06/2022,Peachtree Station,Chamblee,GA,105720,67905872.00,642.32,3266272.44,1,0.0175,0.0591,0.0860,0.0241,0.0481,44206311000
2022,02/2022,Victory Station,Savannah,GA,64171,23625000.00,368.16,1370250.00,1,0.0175,0.0591,0.0860,0.0241,0.0580,21089705000
2022,09/2022,Evergreen Plaza,Evergreen Park,IL,255249,67250000.00,263.47,4573000.00,1,0.0175,0.0591,0.0860,0.0241,0.0680,417565020000
2022,02/2022,Ravinia Plaza,Orland Park,IL,101800,26000000.00,255.40,1300000.00,1,0.0175,0.0591,0.0860,0.0241,0.0500,417565020000
2022,09/2022,Whole Foods - Arabella Station,New Orleans,LA,30300,31400000.00,1036.30,1287400.00,0,0.0175,0.0591,0.0860,0.0241,0.0410,22936957000
2022,10/2022,Whole Foods - Swampscott,Swampscott,MA,35907,19250000.00,536.11,981750.00,0,0.0175,0.0591,0.0860,0.0241,0.0510,47094918000
2022,05/2022,Wellesley Plaza,Wellesley,MA,32500,43700000.00,1344.62,2316100.00,1,0.0175,0.0591,0.0860,0.0241,0.0530,57045702000
2022,05/2022,Horn Pond Plaza,Wooburn,MA,162676,52900000.00,325.19,2777250.00,1,0.0175,0.0591,0.0860,0.0241,0.0525,190978324000
2022,08/2022,Whole Foods - Towson,Towson,MD,63750,26800000.00,420.39,1125600.00,0,0.0175,0.0591,0.0860,0.0241,0.0420,54869055000
2022,05/2022,Centennial Lakes Plaza,Edina,MN,213382,68750000.00,322.19,3746875.00,1,0.0175,0.0591,0.0860,0.0241,0.0545,150146936000
2022,05/2022,City Place (1),Woodbury,MN,174813,75000000.00,429.03,4125000.00,1,0.0175,0.0591,0.0860,0.0241,0.0550,11490276000
2022,01/2022,Asheville Marketplace,Asheville,NC,129851,33000000.00,254.14,2145000.00,1,0.0175,0.0591,0.0860,0.0241,0.0650,15336616000
2022,06/2022,Waverly Place,Cary,NC,198271,88600000.00,446.86,4430000.00,1,0.0175,0.0591,0.0860,0.0241,0.0500,94675594000
2022,12/2022,Chappaqua Crossing,Chappaqua,NY,120000,79500000.00,662.50,4491750.00,1,0.0175,0.0591,0.0860,0.0241,0.0565,88166111000
2022,04/2022,Whole Foods - Garden City,Garden City,NY,50291,65250000.00,1297.45,2610000.00,0,0.0175,0.0591,0.0860,0.0241,0.0400,3438877000
2022,05/2022,Ridge Hill,Yonkers,NY,1213455,220000000.00,181.30,11242000.00,1,0.0175,0.0591,0.0860,0.0241,0.0511,88166111000
2022,04/2022,Whole Foods - Exton,Exton,PA,55000,22126147.00,402.29,1017802.76,0,0.0175,0.0591,0.0860,0.0241,0.0460,46351717000
2022,05/2022,Baederwood Shopping Center,Jenkintown,PA,117560,41300000.00,351.31,2168250.00,1,0.0175,0.0591,0.0860,0.0241,0.0525,86932684000
2022,12/2022,The Shoppes at Ellis Preserve,Newtown Square,PA,103874,60000000.00,577.62,3048000.00,1,0.0175,0.0591,0.0860,0.0241,0.0508,35003794000
2022,05/2022,Village on the Parkway,Addison,TX,381166,115000000.00,301.71,6900000.00,1,0.0175,0.0591,0.0860,0.0241,0.0600,299773355000
2022,02/2022,Shops at Arbor Trails,Austin,TX,357168,128700000.00,360.33,5148000.00,1,0.0175,0.0591,0.0860,0.0241,0.0400,1644744000
2022,06/2022,Shoppes at Fairview Town Center,Fairview,TX,67528,36000000.00,533.11,1710000.00,1,0.0175,0.0591,0.0860,0.0241,0.0475,83208852000
2022,04/2022,West University Marketplace,Houston,TX,60136,33500000.00,557.07,1504150.00,1,0.0175,0.0591,0.0860,0.0241,0.0449,873777000
2022,12/2022,Whole Foods - King Street,Alexandria,VA,42243,27000000.00,639.16,1215000.00,0,0.0175,0.0591,0.0860,0.0241,0.0450,14979536000
2022,10/2022,West Broad Village,Glen Allen,VA,392000,93900000.00,239.54,7136400.00,1,0.0175,0.0591,0.0860,0.0241,0.0760,32073153000
2022,04/2022,Whole Foods - Westburg,Garden City,NY,53500,65250000.00,1219.63,2583900.00,0,0.0175,0.0591,0.0860,0.0241,0.0396,3438877000
